Moves;FPS
0;0
1;0
2;167.94222787361147
3;129.22162431581765
4;148.16069085213564
5;124.44278520730835
6;139.98824098775702
7;126.00352809878676
8;133.62786004526984
9;131.75850548209496
10;130.3387151499102
11;129.2321211975756
12;128.33868077836576
13;127.59945922133949
14;122.69326548800235
15;126.45667117007261
16;123.53333576478312
17;124.48649321548612
18;124.21562569410744
19;123.10697168229298
20;124.18147191568183
21;121.03040609260962
22;124.18043521590178
23;119.01166314298801
24;123.1051887285303
25;120.00601038505793
26;120.00625242659702
27;120.01133552446467
28;120.0069785570724
29;120.00286393389557
30;120.00092773826486
31;119.00452217184252
32;120.00383205514126
33;105.78407780730052
34;104.24285958311616
35;104.23025953334624
36;106.57362222248095
37;104.23683309230391
38;104.24057673945988
39;104.23738092631118
40;105.00318097871788
41;106.57619929570149
42;104.24295089894215
43;107.36370673648615
44;107.37329725349933
45;106.574004003242
46;104.23354620918359
47;105.00559000346783
48;109.85937077352999
49;122.06104693503686
50;121.00506809560207
51;121.01653892698668
52;120.01728248867838
53;118.03634732588655
54;120.01008084679113
55;120.0064803499389
56;120.00828057135942
57;120.006000300015
58;118.03599901243214
59;120.00924071153479
60;117.09099140942426
61;117.07545513083183
62;118.0311228399075
63;120.00672037634108
64;120.0064803499389
65;120.00636033709786
66;120.00936073013695
67;124.14430948348725
68;124.14893319856277
69;120.00984080694617
70;120.00996082674862
71;124.14456634751167
72;122.03170587104707
73;120.00780050703295
74;124.1597232065904
75;120.00696040370342
76;124.14084192318992
77;124.14585068357809
78;123.0747771577316
79;124.14649286157666
80;124.14957540845211
81;124.14289675035278
82;119.01514963675585
83;123.07906907094791
84;118.03390917487413
85;121.0151964832984
86;124.14392418944362
87;124.14341046777237
88;121.01678301085722
89;120.01008084679113
90;118.03576680460458
91;117.07488402269301
92;120.01056092936179
93;117.08299428049573
94;121.01458629146767
95;122.04200685876079
96;121.01153542461435
97;121.01177948830168
98;121.01177948830168
99;124.14161247540444
100;120.00084000588004
101;120.01884295834446
102;121.00702042396827
103;121.00372590639354
104;117.07990996554923
105;117.07773961910709
106;120.00672037634108
107;120.00924071153479
108;124.13621881077502
109;124.15188741906849
110;112.50291804443678
111;109.09170248510898
112;109.10271202066406
113;112.50608236007758
114;109.10310880216606
115;109.09685982871792
116;109.09438027573604
117;109.94075109688804
118;111.62541487445861
119;109.09596717666001
120;109.11382299373777
121;115.18802044587363
122;112.50070312939455
123;115.20317039124917
124;115.20140084903433
125;111.63995370663253
126;112.49426982313088
127;111.6473284189901
128;120.0153619663317
129;120.0114010831029
130;117.07888189667788
131;120.01212122424364
132;123.07995273729814
133;124.15419951579862
134;124.15330035683728
135;120.00816055491774
136;120.0074404613086
137;120.01584209115603
138;117.08847790833143
139;120.01056092936179
140;117.07694003806952
141;117.0876781806136
142;118.0389016873661
143;117.08733544350731
144;120.00780050703295
145;124.15175897177514
146;119.98992084664889
147;122.05975842339478
148;123.08765379545909
149;122.04349630208206
150;117.07339916760813
151;114.28843543893902
152;114.30726937079564
153;108.28800277217287
154;109.93823303607256
155;109.92826264793366
156;109.92624864767812
157;109.93440580453662
158;109.94296708582422
159;109.93561437518093
160;113.3918624329925
161;110.77591140881111
162;113.40289971214564
163;111.63611093280343
164;113.3996847488764
165;113.38929094841637
166;112.50966879966248
167;108.25928097794217
168;110.77427525930412
169;118.0390177973329
170;116.12524882253837
171;124.14713504621895
172;124.13775980998646
173;121.01385406939337
174;124.13262329472809
175;124.1568970708284
176;122.0407656837639
177;120.01344150544861
178;124.0927013843575
179;120.00720043202593
180;121.00994903464313
181;118.0292653563451
182;120.0018000270004
183;121.01129136191149
184;121.01031512094477
185;124.14623598957999
186;121.0140981424336
187;119.02530180353088
188;117.08962039545068
189;117.08116651868909
190;124.13968611280366
191;121.02386187143232
192;118.04784282323222
193;117.0789961256609
194;118.0390177973329
195;117.13099344652092
196;118.0422689691467
197;118.04691381099705
198;124.14867631646739
199;119.01880893910601
200;117.07054378292
201;121.02837812896179
202;121.01544056175368
203;118.04552032006076
204;124.15304345666904
205;122.0374146373709
206;123.08285630179095
207;121.01653892698668
208;121.0087287629681
209;124.13403579404923
210;124.14854787581835
211;124.15959474308276
212;121.01385406939337
213;124.17501226228246
