Moves;FPS
1;0
2;0
3;139.94122468563202
4;129.23832470205951
5;126.01260126012602
6;124.45550715619166
7;139.99776003583943
8;122.91267932081965
9;133.64426079722892
10;129.242798752807
11;128.131336653901
12;125.38286553583264
13;128.34124771027547
14;121.43975503866555
15;126.96853552258715
16;121.23746336587364
17;124.76057850886157
18;121.09509237591844
19;121.03048224493082
20;119.99959664001129
21;120.0040740878934
22;119.99729753985372
23;120.00298494819702
24;120.0102462529574
25;120.01036728214841
26;116.10447060751908
27;120.00068571820411
28;117.0597348941298
29;118.01902585707599
30;116.0995997978501
31;120.00709957967261
32;116.11285388807306
33;120.01206171645487
34;117.05524417330471
35;120.00637344773268
36;120.00939905545543
37;120.01121449332072
38;120.01000419530772
39;120.01641905295952
40;120.00746264893783
41;116.09835384241649
42;120.00673651260423
43;122.05766660615068
44;117.06065611022196
45;124.1840637408623
46;124.18561888790212
47;120.01387723488027
48;120.01436138240408
49;122.05428646448733
50;124.1840637408623
51;120.0080677692618
52;122.05854296973564
53;124.18043521590178
54;124.19171025552184
55;124.15439381356391
56;124.17693648193173
57;119.98471455233098
58;120.00177481616535
59;124.19041416981317
60;118.01996223361209
61;120.00165380430452
62;118.0160997761661
63;120.00492121021433
64;124.17602943493645
65;123.11244822035266
66;122.0646778672121
67;117.05282623557127
68;120.00492121021433
69;121.00763771736887
70;116.10526356870504
71;119.99971764772319
72;120.03312510780286
73;116.08487657933962
74;120.03409371737519
75;121.03545321674602
76;116.09824057506678
77;120.0131510209186
78;124.18613727890433
79;118.01399308775183
80;120.00843084438537
81;120.00891494796757
82;117.0534019259711
83;116.10447060751908
84;118.97049531716135
85;120.00734162560533
86;117.07286359240541
87;123.11002829461574
88;118.02698553128013
89;120.00528426629879
90;120.03167222275458
91;119.96898952842106
92;121.01674403941688
93;119.99971764772319
94;120.00153279268777
95;116.08306474898744
96;120.0202925065986
97;116.0963150639359
98;118.02113272517738
99;119.99088472606788
100;120.00395307139529
101;120.0413587874814
102;119.97552096093335
103;120.0035900233654
104;117.05075379701826
105;118.01516346091863
106;117.03682430904016
107;124.18250863277144
108;124.21841564108185
109;118.03049749358767
110;124.19196947590989
111;120.01181965148164
112;120.02440832505434
113;120.00637344773268
